Time,Treatments,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6
0.0,sp_1_2_4_5_6,0.004,0.004,0.0,0.004,0.004,0.004
2.6666667,sp_1_2_4_5_6,0.004085731,0.013807507,0.0,0.005428727,0.014420894,0.011113912
5.3333335,sp_1_2_4_5_6,0.0039644167,0.044480804,0.0,0.007336291,0.04974784,0.021476865
8.0,sp_1_2_4_5_6,0.0034443783,0.10609908,0.0,0.010697678,0.15492767,0.02080797
10.666667,sp_1_2_4_5_6,0.0026436392,0.15155035,0.0,0.017055774,0.39424026,0.009750048
13.333333,sp_1_2_4_5_6,0.0019245732,0.15367465,0.0,0.025292736,0.72846407,0.002800218
16.0,sp_1_2_4_5_6,0.0014068091,0.14189805,0.0,0.032475438,0.97772455,0.00063738134
18.666666,sp_1_2_4_5_6,0.0010493882,0.13167107,0.0,0.03766933,1.088812,0.00013645501
21.333334,sp_1_2_4_5_6,0.00079794694,0.12491691,0.0,0.041344285,1.1253129,2.939889e-05
24.0,sp_1_2_4_5_6,0.0006155325,0.120746724,0.0,0.044041287,1.1345621,6.462614e-06
0.0,sp_1_2_3_4_5_6,0.0033333334,0.0033333334,0.0033333334,0.0033333334,0.0033333334,0.0033333334
2.6666667,sp_1_2_3_4_5_6,0.0031717508,0.011476118,0.012619388,0.0045321845,0.012302602,0.009265804
5.3333335,sp_1_2_3_4_5_6,0.0024721972,0.036774393,0.040138528,0.006060821,0.045880355,0.017569408
8.0,sp_1_2_3_4_5_6,0.0013664081,0.086327665,0.082702145,0.008381757,0.17108145,0.015397482
10.666667,sp_1_2_3_4_5_6,0.0006073051,0.12015081,0.069589324,0.01176693,0.52095854,0.005847705
13.333333,sp_1_2_3_4_5_6,0.00031631588,0.124357335,0.021560477,0.014980382,0.93149835,0.0014442557
16.0,sp_1_2_3_4_5_6,0.0002107364,0.1210263,0.0041044606,0.017581893,1.1153342,0.0003253002
18.666666,sp_1_2_3_4_5_6,0.00015448515,0.11771308,0.0006795276,0.019849371,1.1657773,7.2889474e-05
21.333334,sp_1_2_3_4_5_6,0.00011616766,0.115406014,0.000109036024,0.021961,1.176816,1.6488913e-05
24.0,sp_1_2_3_4_5_6,8.819569e-05,0.11395082,1.7420996e-05,0.023993038,1.1774161,3.7676418e-06
0.0,sp_2,0.0,0.02,0.0,0.0,0.0,0.0
2.6666667,sp_2,0.0,0.060328417,0.0,0.0,0.0,0.0
5.3333335,sp_2,0.0,0.14333506,0.0,0.0,0.0,0.0
8.0,sp_2,0.0,0.23701726,0.0,0.0,0.0,0.0
10.666667,sp_2,0.0,0.29180023,0.0,0.0,0.0,0.0
13.333333,sp_2,0.0,0.31255046,0.0,0.0,0.0,0.0
16.0,sp_2,0.0,0.31906745,0.0,0.0,0.0,0.0
18.666666,sp_2,0.0,0.32099012,0.0,0.0,0.0,0.0
21.333334,sp_2,0.0,0.32154652,0.0,0.0,0.0,0.0
24.0,sp_2,0.0,0.3217067,0.0,0.0,0.0,0.0
0.0,sp_1_4_6,0.006666667,0.0,0.0,0.006666667,0.0,0.006666667
2.6666667,sp_1_4_6,0.006869197,0.0,0.0,0.008305784,0.0,0.021646848
5.3333335,sp_1_4_6,0.0068922043,0.0,0.0,0.0086403545,0.0,0.06712308
8.0,sp_1_4_6,0.0064608795,0.0,0.0,0.0060539143,0.0,0.18359934
10.666667,sp_1_4_6,0.00543495,0.0,0.0,0.002424014,0.0,0.38611948
13.333333,sp_1_4_6,0.0041630105,0.0,0.0,0.0006219139,0.0,0.5789382
16.0,sp_1_4_6,0.0030449047,0.0,0.0,0.00012882471,0.0,0.6816706
18.666666,sp_1_4_6,0.0021930577,0.0,0.0,2.4715853e-05,0.0,0.7204099
21.333334,sp_1_4_6,0.0015736796,0.0,0.0,4.634352e-06,0.0,0.73321384
24.0,sp_1_4_6,0.0011289623,0.0,0.0,8.638268e-07,0.0,0.73738164
0.0,sp_1_2_5,0.006666667,0.006666667,0.0,0.0,0.006666667,0.0
2.6666667,sp_1_2_5,0.0066815545,0.020785183,0.0,0.0,0.024439184,0.0
5.3333335,sp_1_2_5,0.006339611,0.053287856,0.0,0.0,0.08536067,0.0
8.0,sp_1_2_5,0.005459052,0.094583556,0.0,0.0,0.26078922,0.0
10.666667,sp_1_2_5,0.004266064,0.11657978,0.0,0.0,0.60062677,0.0
13.333333,sp_1_2_5,0.0031557614,0.1198505,0.0,0.0,0.94746137,0.0
16.0,sp_1_2_5,0.002295552,0.117253244,0.0,0.0,1.1331501,0.0
18.666666,sp_1_2_5,0.0016702414,0.11427965,0.0,0.0,1.2000769,0.0
21.333334,sp_1_2_5,0.0012204824,0.112070575,0.0,0.0,1.2205071,0.0
24.0,sp_1_2_5,0.0008954392,0.11060313,0.0,0.0,1.226299,0.0
