Time,Treatments,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6
0.0,sample_0000,0.0050840727,0.0008087334,0.0010985231,0.0021243347,0.004040967,0.006843368
2.6666667,sample_0000,0.044971496,0.00305649,0.006317765,0.0061135315,0.043047126,0.024359507
5.3333335,sample_0000,0.17981665,0.0036949732,0.0200824,0.013921187,0.3683433,0.034751777
8.0,sample_0000,0.1723672,0.0013543166,0.028374657,0.023512907,0.8421499,0.027011106
10.666667,sample_0000,0.1192185,0.00042492276,0.03206464,0.036145058,0.9026944,0.027607407
13.333333,sample_0000,0.0885875,0.000148989,0.032919038,0.05355511,0.88731843,0.037502877
16.0,sample_0000,0.074709825,6.5464315e-05,0.028674567,0.07491271,0.8439792,0.059487987
18.666666,sample_0000,0.074697904,4.003211e-05,0.020065788,0.09572221,0.7754583,0.09702881
21.333334,sample_0000,0.08919685,3.496606e-05,0.01141516,0.10890292,0.70311695,0.1432392
24.0,sample_0000,0.120454825,3.9186234e-05,0.0057848804,0.112852566,0.65287507,0.17040356
0.0,sample_0001,0.002634171,0.0005784732,0.0007501814,0.0014992194,0.006600466,0.007937488
2.6666667,sample_0001,0.02247561,0.0019696543,0.004148833,0.004253531,0.06638516,0.03155197
5.3333335,sample_0001,0.081744365,0.0022624286,0.010989117,0.008861348,0.41939065,0.07323103
8.0,sample_0001,0.09147848,0.0012819384,0.011845924,0.012599829,0.7499664,0.10912581
10.666667,sample_0001,0.07883966,0.000783415,0.008931828,0.014787126,0.77165174,0.1658
13.333333,sample_0001,0.06949027,0.0006160884,0.0056360364,0.014274231,0.74265033,0.26366296
16.0,sample_0001,0.062449027,0.00062264694,0.00336333,0.010583574,0.71784747,0.41315788
18.666666,sample_0001,0.0554615,0.0007607116,0.0021937708,0.0058010155,0.70408946,0.6092536
21.333334,sample_0001,0.04811743,0.001054256,0.0016765324,0.002393677,0.6969873,0.8258944
24.0,sample_0001,0.0410568,0.0015865116,0.0014825958,0.000789176,0.69214225,1.0274785
0.0,sample_0002,0.007390648,0.0025530516,0.00027757927,0.000441961,0.00036741394,0.008969346
2.6666667,sample_0002,0.068332925,0.012585943,0.0016233451,0.0012852516,0.0039646,0.028540362
5.3333335,sample_0002,0.4142674,0.045617208,0.0070063295,0.003533172,0.047864065,0.022746915
8.0,sample_0002,0.66353524,0.031724036,0.01801415,0.009143759,0.46893266,0.0044096434
10.666667,sample_0002,0.3530126,0.0075428947,0.025303842,0.017302904,0.8998087,0.0011331049
13.333333,sample_0002,0.19923982,0.0017600122,0.033756185,0.029449355,0.93765676,0.0006202868
16.0,sample_0002,0.12641533,0.00043408648,0.04398646,0.048165195,0.9519647,0.00057810836
18.666666,sample_0002,0.08652814,0.00011477037,0.05293114,0.07608865,0.9587479,0.0007666996
21.333334,sample_0002,0.0654439,3.4204826e-05,0.057257257,0.11631813,0.944601,0.0012609863
24.0,sample_0002,0.057384655,1.2226007e-05,0.055386223,0.17182288,0.9056172,0.0022758255
0.0,sample_0003,0.0034024369,0.00032622434,0.009853156,0.002695634,0.0035256462,0.00019690141
2.6666667,sample_0003,0.0260054,0.00087357144,0.062931076,0.007926477,0.063844055,0.0007494808
5.3333335,sample_0003,0.037117273,0.0002530601,0.1773538,0.015868597,0.9263504,0.0017966531
8.0,sample_0003,0.010907491,2.5491907e-05,0.20438401,0.02185863,1.254124,0.0048828223
10.666667,sample_0003,0.0029653271,2.6305256e-06,0.20412315,0.028716719,1.2477237,0.015858797
13.333333,sample_0003,0.0008649011,3.5062513e-07,0.16636668,0.035409287,1.2279569,0.053867474
16.0,sample_0003,0.0003066217,8.959789e-08,0.09062478,0.03644976,1.1398039,0.18218425
18.666666,sample_0003,0.00015059534,5.768064e-08,0.03938894,0.023630943,0.9497606,0.5507759
21.333334,sample_0003,8.968539e-05,6.524365e-08,0.026117925,0.007856455,0.84925824,1.1742448
24.0,sample_0003,5.4306453e-05,8.641313e-08,0.025078334,0.00167506,0.8320726,1.6369267
0.0,sample_0004,0.003939924,0.0054267696,0.0023683528,0.003281417,0.0029352189,0.0020483187
2.6666667,sample_0004,0.03372633,0.019757178,0.014802298,0.0099557815,0.033988792,0.007427449
5.3333335,sample_0004,0.12027228,0.019457944,0.0546536,0.024738751,0.40977764,0.012513977
8.0,sample_0004,0.08257823,0.0048140134,0.07414398,0.04040822,1.0262867,0.015423907
10.666667,sample_0004,0.043277048,0.0011608795,0.07249057,0.05756193,1.0528051,0.029014679
13.333333,sample_0004,0.026534518,0.00038763377,0.05637651,0.075832926,0.9819398,0.07037481
16.0,sample_0004,0.020816997,0.00023103708,0.030727865,0.08311223,0.8526272,0.18414953
18.666666,sample_0004,0.020364732,0.00025983035,0.013798506,0.06205764,0.7340652,0.4458494
21.333334,sample_0004,0.02017132,0.0004039559,0.008286142,0.027442748,0.6960433,0.8611194
24.0,sample_0004,0.017773295,0.0006614097,0.007275191,0.007937192,0.7048157,1.2567632
0.0,sample_0005,0.005406913,0.0048237024,0.0034573262,0.00013446352,0.0055199745,0.0006576207
2.6666667,sample_0005,0.041962367,0.013534259,0.02225606,0.000405235,0.06915846,0.0022867771
5.3333335,sample_0005,0.08681009,0.00632459,0.07533968,0.00091808895,0.71767384,0.0040674773
8.0,sample_0005,0.036547307,0.00095298496,0.10880106,0.0014263043,1.1936542,0.007884839
10.666667,sample_0005,0.011841501,0.00012762904,0.12874575,0.0020269223,1.242007,0.022704968
13.333333,sample_0005,0.00366512,2.0188983e-05,0.117257945,0.002585882,1.2304981,0.076506786
16.0,sample_0005,0.0012811415,5.9514664e-06,0.067461886,0.0024985205,1.119402,0.25947788
18.666666,sample_0005,0.0005857064,4.086813e-06,0.035374932,0.0013336402,0.9495491,0.7322637
21.333334,sample_0005,0.00031799445,4.532734e-06,0.027937533,0.00036915272,0.86884373,1.3553911
24.0,sample_0005,0.00017987733,5.7986827e-06,0.028103381,7.253559e-05,0.85305345,1.7115599
0.0,sample_0006,0.005199665,0.0013152985,0.0016544821,0.006167961,0.0030660452,0.0025965476
2.6666667,sample_0006,0.047907274,0.005074566,0.010003502,0.018290944,0.033129085,0.0091025205
5.3333335,sample_0006,0.21265706,0.006301114,0.035375692,0.04469156,0.3383224,0.011522944
8.0,sample_0006,0.20311354,0.0021043587,0.04759823,0.0771604,0.88820726,0.007083859
10.666667,sample_0006,0.14770328,0.0006644316,0.04699747,0.11720622,0.91945165,0.00571199
13.333333,sample_0006,0.13084409,0.00025794868,0.042908043,0.17255227,0.86689234,0.005575951
16.0,sample_0006,0.14243335,0.00012531632,0.03621794,0.24596184,0.8030314,0.0053027393
18.666666,sample_0006,0.18288444,7.3295814e-05,0.028462656,0.3369272,0.7378829,0.004066147
21.333334,sample_0006,0.25784197,4.7864953e-05,0.02102203,0.44072354,0.6800912,0.0021522294
24.0,sample_0006,0.36704454,3.2446733e-05,0.014539541,0.5468998,0.6344677,0.00072550605
0.0,sample_0007,0.0039464133,0.004132309,0.00013066048,0.0045222007,0.0013869125,0.0058815037
2.6666667,sample_0007,0.036991026,0.01926669,0.00076494337,0.013449425,0.01384803,0.021305246
5.3333335,sample_0007,0.2248944,0.055232037,0.0029019846,0.03594778,0.118968725,0.027844664
8.0,sample_0007,0.43383595,0.04256697,0.0053602005,0.08190158,0.4932992,0.009381086
10.666667,sample_0007,0.4397464,0.020995522,0.005737304,0.15228105,0.6687164,0.0024441497
13.333333,sample_0007,0.48847085,0.012136809,0.0049736323,0.25542444,0.65065616,0.000599953
16.0,sample_0007,0.5862632,0.008178233,0.0036480327,0.39018112,0.61459875,0.00011685139
18.666666,sample_0007,0.6799227,0.0057462384,0.0023198912,0.533714,0.58643854,1.7604043e-05
21.333334,sample_0007,0.74121857,0.0039513703,0.0013426939,0.6551346,0.5672035,2.2103568e-06
24.0,sample_0007,0.77473754,0.0026356264,0.0007384267,0.7390691,0.5551211,2.4986028e-07
0.0,sample_0008,0.003212494,0.0009833522,0.000100826794,0.008175438,0.003087065,0.0044408236
2.6666667,sample_0008,0.03132077,0.0042295414,0.00058034604,0.024018338,0.029231248,0.016960729
5.3333335,sample_0008,0.19704731,0.009092722,0.001975331,0.059051156,0.20268972,0.026989069
8.0,sample_0008,0.40913188,0.0067521892,0.0029923213,0.11563981,0.55002236,0.011715133
10.666667,sample_0008,0.49932402,0.003910603,0.002885348,0.19921513,0.64465934,0.003109206
13.333333,sample_0008,0.59876263,0.0025297687,0.0022673514,0.31753144,0.62463504,0.0006335109
16.0,sample_0008,0.6978462,0.0017673236,0.00151018,0.4589238,0.59678346,9.90411e-05
18.666666,sample_0008,0.76160747,0.0012313736,0.000893818,0.59373057,0.5754874,1.2684715e-05
21.333334,sample_0008,0.79182744,0.0008320156,0.0004953037,0.6969304,0.5610138,1.4444455e-06
24.0,sample_0008,0.8043784,0.0005477086,0.0002659585,0.7634682,0.5519786,1.5470164e-07
0.0,sample_0009,0.005581051,0.0023262086,0.003358375,0.0007671759,0.0007927777,0.0071744113
2.6666667,sample_0009,0.048993554,0.010095733,0.019989539,0.0022340468,0.010367698,0.02463118
5.3333335,sample_0009,0.2139061,0.016842674,0.07742769,0.0054767337,0.22463733,0.029766941
8.0,sample_0009,0.1232073,0.0034039356,0.11004835,0.008812493,1.1350632,0.021557696
10.666667,sample_0009,0.040725403,0.00053622894,0.108800516,0.011814682,1.2066644,0.03608891
13.333333,sample_0009,0.014879535,0.00011384105,0.08629615,0.0145052215,1.1538941,0.09709823
16.0,sample_0009,0.0066607473,4.6985642e-05,0.046305448,0.013447611,1.0132351,0.29539713
18.666666,sample_0009,0.0037839622,4.056747e-05,0.02526097,0.0069191605,0.8715466,0.77084786
21.333334,sample_0009,0.0023733324,5.0747418e-05,0.020930318,0.0019179849,0.81774336,1.361949
24.0,sample_0009,0.0014928824,7.025372e-05,0.021824287,0.00038537077,0.81226945,1.699803
0.0,sample_0010,0.0041136146,0.0046580466,0.0014794205,0.006245382,0.0030618513,0.00044168474
2.6666667,sample_0010,0.037024483,0.017453328,0.009304123,0.019099211,0.032481305,0.0015918046
5.3333335,sample_0010,0.16379006,0.021232877,0.036173977,0.049700305,0.32165244,0.00237174
8.0,sample_0010,0.16547823,0.0070790336,0.05243829,0.08879546,0.88098186,0.001798782
10.666667,sample_0010,0.12396059,0.002229005,0.052363224,0.13507493,0.92513406,0.0017065376
13.333333,sample_0010,0.11230993,0.0008666548,0.047476556,0.1969949,0.8728449,0.0018898083
16.0,sample_0010,0.12430867,0.00041986708,0.039778158,0.27637154,0.8074816,0.0020002006
18.666666,sample_0010,0.16114005,0.00024257865,0.031155223,0.3702108,0.7410145,0.001702914
21.333334,sample_0010,0.229189,0.0001558962,0.023028854,0.47135186,0.68207145,0.0010074191
24.0,sample_0010,0.3318738,0.00010450306,0.016026124,0.569965,0.6355264,0.00037918915
0.0,sample_0011,0.009337408,0.0015713652,0.00015103167,0.0010816086,0.002456756,0.0054018283
2.6666667,sample_0011,0.08429824,0.00640085,0.0009171947,0.0031759257,0.02568282,0.016173989
5.3333335,sample_0011,0.39327365,0.009951359,0.003659192,0.008273385,0.23282567,0.012280305
8.0,sample_0011,0.4299998,0.003755951,0.006899662,0.017214317,0.7081262,0.0036960663
10.666667,sample_0011,0.30765834,0.0010921983,0.00979319,0.031329554,0.8061579,0.001434805
13.333333,sample_0011,0.2488877,0.00034649356,0.013299383,0.055233467,0.7972358,0.00076008675
16.0,sample_0011,0.23266971,0.00012654572,0.016541652,0.09469097,0.7782822,0.00045826522
18.666666,sample_0011,0.2514886,5.5535733e-05,0.017955951,0.15629515,0.74984896,0.0002631751
21.333334,sample_0011,0.30897892,2.9769093e-05,0.016619164,0.24520746,0.7111804,0.000121148565
24.0,sample_0011,0.40458474,1.8630964e-05,0.01311694,0.3599563,0.6680364,3.931225e-05
0.0,sample_0012,0.00053146743,0.0009410278,0.0010168582,0.007278728,0.0065071424,0.0037247776
2.6666667,sample_0012,0.004794204,0.0032276392,0.0057929517,0.021285374,0.062848575,0.016199362
5.3333335,sample_0012,0.02108825,0.0040662903,0.016235225,0.047724485,0.3841102,0.05700884
8.0,sample_0012,0.03188628,0.0031685669,0.014924574,0.066518314,0.6866517,0.14977449
10.666667,sample_0012,0.03723741,0.0034607428,0.00793484,0.060889024,0.6850699,0.32758355
13.333333,sample_0012,0.04093145,0.0050522853,0.0043208427,0.036367204,0.6653883,0.5847343
16.0,sample_0012,0.039654754,0.007988153,0.0030454556,0.015059128,0.6725227,0.85135585
18.666666,sample_0012,0.034140415,0.012723943,0.0026493452,0.0048706117,0.6829899,1.0700741
21.333334,sample_0012,0.027242744,0.020476919,0.0025966458,0.0013609981,0.68611604,1.2297688
24.0,sample_0012,0.020488897,0.033405513,0.002704788,0.00035216555,0.6840527,1.3358216
0.0,sample_0013,0.0026984527,0.011026766,0.002443378,0.0018268293,0.0001370725,0.0018675026
2.6666667,sample_0013,0.022839282,0.047892604,0.015891615,0.005762803,0.0016641947,0.0068500317
5.3333335,sample_0013,0.111054115,0.13773309,0.0797389,0.017800445,0.035249356,0.011154457
8.0,sample_0013,0.12429409,0.05193299,0.1864141,0.04035573,0.740089,0.007651749
10.666667,sample_0013,0.038667716,0.0064846454,0.17827858,0.0552999,1.2056837,0.011042877
13.333333,sample_0013,0.013622441,0.00101911,0.14629523,0.07102116,1.1811738,0.0283009
16.0,sample_0013,0.0061224126,0.00026251376,0.09378875,0.084704466,1.0965532,0.08633574
18.666666,sample_0013,0.0038662967,0.00015170789,0.041071337,0.07927559,0.9169788,0.26761892
21.333334,sample_0013,0.0031908636,0.0001825331,0.018783744,0.043575373,0.77330554,0.708212
24.0,sample_0013,0.0026024675,0.00028143465,0.01445847,0.013029294,0.7459334,1.3013021
0.0,sample_0014,5.4947683e-05,0.0053222096,0.0027362003,0.007725667,0.0020978972,0.0020630776
2.6666667,sample_0014,0.0004995987,0.021638766,0.016569013,0.023552293,0.023711186,0.008846595
5.3333335,sample_0014,0.0023880473,0.033393297,0.058132518,0.060443167,0.29295647,0.032085646
8.0,sample_0014,0.0025807817,0.016758615,0.055931553,0.09127761,0.86667424,0.102047846
10.666667,sample_0014,0.0021373346,0.013621847,0.025331084,0.08677535,0.800943,0.30919635
13.333333,sample_0014,0.001984606,0.019879922,0.012395162,0.046516623,0.70741737,0.761209
16.0,sample_0014,0.0016129779,0.033329718,0.009831239,0.014469493,0.6998048,1.2766749
18.666666,sample_0014,0.0010829848,0.053947482,0.010037437,0.0034743904,0.7131248,1.5297893
21.333334,sample_0014,0.0006239011,0.08369177,0.010680792,0.0007999637,0.71894485,1.5506315
24.0,sample_0014,0.00031409302,0.12466795,0.010912736,0.00019584027,0.71636665,1.4610254
0.0,sample_0015,0.00628343,0.0011421902,0.0030593183,0.0030535301,0.0047434215,0.0017181099
2.6666667,sample_0015,0.052863415,0.0035957252,0.018965563,0.009019835,0.056997433,0.005830706
5.3333335,sample_0015,0.14181963,0.002274872,0.061624225,0.020407172,0.5987806,0.008181113
8.0,sample_0015,0.079093434,0.0004664538,0.080453105,0.03191997,1.0842236,0.010161106
10.666667,sample_0015,0.037419967,9.549087e-05,0.08470184,0.045956254,1.1003095,0.020367244
13.333333,sample_0015,0.019657083,2.5093439e-05,0.07277393,0.062159315,1.0516094,0.05361179
16.0,sample_0015,0.012743621,1.1337869e-05,0.04333723,0.07141915,0.9320442,0.15559582
18.666666,sample_0015,0.010650386,1.0548949e-05,0.019461902,0.055755336,0.7873774,0.4280881
21.333334,sample_0015,0.009567719,1.5250143e-05,0.011656274,0.024002241,0.72658443,0.9252195
24.0,sample_0015,0.007866828,2.4301215e-05,0.0106841335,0.0063242256,0.7286709,1.4076133
0.0,sample_0016,0.0017003386,0.0021978403,0.0055507068,0.000848179,0.0078038103,0.0018991245
2.6666667,sample_0016,0.012554054,0.005319442,0.03373836,0.0024815064,0.10498987,0.007779819
5.3333335,sample_0016,0.019708699,0.0020089392,0.08775267,0.005020178,0.8705972,0.024263566
8.0,sample_0016,0.008292125,0.00041132074,0.087847166,0.0068139355,1.1510831,0.07668483
10.666667,sample_0016,0.0034946,0.00014377703,0.05262701,0.0068486123,1.0509319,0.25324932
13.333333,sample_0016,0.0018392251,0.00010947155,0.028249333,0.0038226375,0.90095866,0.7107922
16.0,sample_0016,0.0011019503,0.00012988706,0.022660526,0.0011008374,0.83339846,1.3300499
18.666666,sample_0016,0.000673765,0.00017563798,0.023310661,0.00022204225,0.8226501,1.6984504
21.333334,sample_0016,0.00040223866,0.0002406041,0.025635954,3.967027e-05,0.8323646,1.8224751
24.0,sample_0016,0.00023129433,0.00032299722,0.02832315,6.8223776e-06,0.8475978,1.8547144
0.0,sample_0017,0.0025043054,0.0023310662,0.0045852857,0.0021917957,0.0014727559,0.0069147907
2.6666667,sample_0017,0.021659099,0.00952934,0.026698556,0.006360291,0.020026226,0.026990306
5.3333335,sample_0017,0.08012382,0.012014406,0.083250254,0.014087904,0.37874562,0.058161367
8.0,sample_0017,0.046600256,0.003510331,0.07641819,0.01846943,1.0715652,0.09815533
10.666667,sample_0017,0.022354472,0.0014557921,0.042804908,0.01832091,0.9906268,0.23242475
13.333333,sample_0017,0.013601517,0.0011704641,0.022015415,0.011692147,0.85446954,0.56987166
16.0,sample_0017,0.009247381,0.0014323002,0.015954295,0.0041393405,0.79049116,1.0934714
18.666666,sample_0017,0.0063356617,0.0020412167,0.015642945,0.0009735724,0.7762148,1.5120386
21.333334,sample_0017,0.004235592,0.003008869,0.017218536,0.00019182863,0.78115994,1.7086781
24.0,sample_0017,0.0027274382,0.0043990575,0.019482277,3.5421643e-05,0.79329294,1.782964
0.0,sample_0018,0.0007654886,0.0008284311,0.016627517,0.0011995457,0.0002749857,0.0003040317
2.6666667,sample_0018,0.0057017747,0.0025088028,0.111373,0.0035490494,0.0073209363,0.0012731247
5.3333335,sample_0018,0.014127365,0.0012583599,0.47330007,0.0078056674,0.31560713,0.004018461
8.0,sample_0018,0.0040491363,6.9189264e-05,0.5653081,0.009474969,1.0451727,0.0110795135
10.666667,sample_0018,0.0007221105,3.6414667e-06,0.4594723,0.010047174,1.1439791,0.03352214
