Time,Treatments,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6
0.0,sp_6,0.0,0.0,0.0,0.0,0.0,0.02
2.6666667,sp_6,0.0,0.0,0.0,0.0,0.0,0.089179836
5.3333335,sp_6,0.0,0.0,0.0,0.0,0.0,0.35486358
8.0,sp_6,0.0,0.0,0.0,0.0,0.0,0.99913186
10.666667,sp_6,0.0,0.0,0.0,0.0,0.0,1.6459289
13.333333,sp_6,0.0,0.0,0.0,0.0,0.0,1.9141362
16.0,sp_6,0.0,0.0,0.0,0.0,0.0,1.9841163
18.666666,sp_6,0.0,0.0,0.0,0.0,0.0,1.9999423
21.333334,sp_6,0.0,0.0,0.0,0.0,0.0,2.003401
24.0,sp_6,0.0,0.0,0.0,0.0,0.0,2.0041509
0.0,sp_1_2_4_5_6,0.004,0.004,0.0,0.004,0.004,0.004
2.6666667,sp_1_2_4_5_6,0.03588741,0.015393127,0.0,0.011936624,0.038619995,0.014606079
5.3333335,sp_1_2_4_5_6,0.17574646,0.02412294,0.0,0.030231955,0.25698462,0.02233096
8.0,sp_1_2_4_5_6,0.2893116,0.013868725,0.0,0.06062407,0.5940047,0.012819748
10.666667,sp_1_2_4_5_6,0.33885938,0.0068021696,0.0,0.109503545,0.65859073,0.005483939
13.333333,sp_1_2_4_5_6,0.4310921,0.0038743278,0.0,0.18971999,0.6341743,0.0018227148
16.0,sp_1_2_4_5_6,0.5722483,0.0026038322,0.0,0.30828986,0.6052149,0.0004167967
18.666666,sp_1_2_4_5_6,0.7041648,0.0018772763,0.0,0.45286253,0.5838302,6.66082e-05
21.333334,sp_1_2_4_5_6,0.77842486,0.0013302033,0.0,0.5915688,0.5684949,8.406836e-06
24.0,sp_1_2_4_5_6,0.806138,0.00090496836,0.0,0.69726485,0.5575013,9.4046385e-07
0.0,sp_1,0.02,0.0,0.0,0.0,0.0,0.0
2.6666667,sp_1,0.18607171,0.0,0.0,0.0,0.0,0.0
5.3333335,sp_1,1.0184993,0.0,0.0,0.0,0.0,0.0
8.0,sp_1,1.819874,0.0,0.0,0.0,0.0,0.0
10.666667,sp_1,1.9726481,0.0,0.0,0.0,0.0,0.0
13.333333,sp_1,1.9890835,0.0,0.0,0.0,0.0,0.0
16.0,sp_1,1.990716,0.0,0.0,0.0,0.0,0.0
18.666666,sp_1,1.9908769,0.0,0.0,0.0,0.0,0.0
21.333334,sp_1,1.9908929,0.0,0.0,0.0,0.0,0.0
24.0,sp_1,1.9908943,0.0,0.0,0.0,0.0,0.0
0.0,sp_1_2_3_5_6,0.004,0.004,0.004,0.0,0.004,0.004
2.6666667,sp_1_2_3_5_6,0.031880856,0.012826895,0.024504205,0.0,0.05239301,0.014677677
5.3333335,sp_1_2_3_5_6,0.07437366,0.007856101,0.07563774,0.0,0.64890987,0.029359672
8.0,sp_1_2_3_5_6,0.033474483,0.0016184375,0.084168114,0.0,1.1426275,0.059710532
10.666667,sp_1_2_3_5_6,0.013305228,0.0004524951,0.0603555,0.0,1.0926836,0.16761
13.333333,sp_1_2_3_5_6,0.006426462,0.00025833782,0.032164663,0.0,0.9468457,0.48383316
16.0,sp_1_2_3_5_6,0.00372333,0.00026633087,0.022112703,0.0,0.84660935,1.0610478
18.666666,sp_1_2_3_5_6,0.0023046061,0.00034984408,0.021160074,0.0,0.81591886,1.5519745
21.333334,sp_1_2_3_5_6,0.0014211229,0.00048555125,0.022936031,0.0,0.81790054,1.7650737
24.0,sp_1_2_3_5_6,0.0008492351,0.0006688195,0.025488688,0.0,0.83096695,1.8320388
0.0,sp_1_4_5,0.006666667,0.0,0.0,0.006666667,0.006666667,0.0
2.6666667,sp_1_4_5,0.060617045,0.0,0.0,0.01984576,0.061890136,0.0
5.3333335,sp_1_4_5,0.2683091,0.0,0.0,0.049403366,0.3453876,0.0
8.0,sp_1_4_5,0.40514445,0.0,0.0,0.097470134,0.625809,0.0
10.666667,sp_1_4_5,0.48253742,0.0,0.0,0.17244054,0.6482632,0.0
13.333333,sp_1_4_5,0.59734595,0.0,0.0,0.28371173,0.6192423,0.0
16.0,sp_1_4_5,0.7135731,0.0,0.0,0.42378545,0.5933137,0.0
18.666666,sp_1_4_5,0.7835338,0.0,0.0,0.5645448,0.57449824,0.0
21.333334,sp_1_4_5,0.8103335,0.0,0.0,0.6769744,0.5612653,0.0
24.0,sp_1_4_5,0.8169324,0.0,0.0,0.7515208,0.5525416,0.0
0.0,sp_3,0.0,0.0,0.02,0.0,0.0,0.0
2.6666667,sp_3,0.0,0.0,0.13664588,0.0,0.0,0.0
5.3333335,sp_3,0.0,0.0,0.71277964,0.0,0.0,0.0
8.0,sp_3,0.0,0.0,1.7146819,0.0,0.0,0.0
10.666667,sp_3,0.0,0.0,2.1295314,0.0,0.0,0.0
13.333333,sp_3,0.0,0.0,2.2034097,0.0,0.0,0.0
16.0,sp_3,0.0,0.0,2.2140546,0.0,0.0,0.0
18.666666,sp_3,0.0,0.0,2.2155383,0.0,0.0,0.0
21.333334,sp_3,0.0,0.0,2.2157438,0.0,0.0,0.0
24.0,sp_3,0.0,0.0,2.2157726,0.0,0.0,0.0
0.0,sp_1_2_3_4_5_6,0.0033333334,0.0033333334,0.0033333334,0.0033333334,0.0033333334,0.0033333334
2.6666667,sp_1_2_3_4_5_6,0.028379802,0.0117871845,0.020220438,0.0099009685,0.04075701,0.012548166
5.3333335,sp_1_2_3_4_5_6,0.089361615,0.010012771,0.06532497,0.022712832,0.50407064,0.024748737
8.0,sp_1_2_3_4_5_6,0.054775175,0.0025544115,0.07393354,0.033750497,1.051182,0.040442646
10.666667,sp_1_2_3_4_5_6,0.028827062,0.00079075753,0.056640718,0.042842872,1.0172073,0.092546776
13.333333,sp_1_2_3_4_5_6,0.018820416,0.0004395894,0.030566799,0.04323059,0.8884329,0.2429128
16.0,sp_1_2_3_4_5_6,0.014848193,0.0004540094,0.015376374,0.027230013,0.77759844,0.5896827
18.666666,sp_1_2_3_4_5_6,0.011964171,0.00064163655,0.011248445,0.009655259,0.7413775,1.0919203
21.333334,sp_1_2_3_4_5_6,0.009137012,0.0009875936,0.011206013,0.0023248643,0.7414728,1.4842038
24.0,sp_1_2_3_4_5_6,0.00667093,0.0015411678,0.012576119,0.00047131145,0.7501254,1.676732
0.0,sp_1_3_4_5_6,0.004,0.0,0.004,0.004,0.004,0.004
2.6666667,sp_1_3_4_5_6,0.034389894,0.0,0.023675933,0.011596821,0.050392278,0.01491928
5.3333335,sp_1_3_4_5_6,0.0981885,0.0,0.06869509,0.024829239,0.58762556,0.02774323
8.0,sp_1_3_4_5_6,0.057603385,0.0,0.0721868,0.03549255,1.0565236,0.04421458
10.666667,sp_1_3_4_5_6,0.031157421,0.0,0.05351886,0.044312038,1.0043143,0.09877013
13.333333,sp_1_3_4_5_6,0.02104081,0.0,0.028424475,0.043926593,0.8742918,0.25199398
16.0,sp_1_3_4_5_6,0.01700507,0.0,0.014410318,0.027325068,0.7695263,0.5939386
18.666666,sp_1_3_4_5_6,0.013919282,0.0,0.010572354,0.009729439,0.73677117,1.0786387
21.333334,sp_1_3_4_5_6,0.010791248,0.0,0.010492583,0.0023734304,0.73739076,1.4606993
